
---------- Begin Simulation Statistics ----------
simSeconds                                   0.011204                       # Number of seconds simulated (Second)
simTicks                                  11204432500                       # Number of ticks simulated (Tick)
finalTick                                 11204432500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     66.99                       # Real time elapsed on the host (Second)
hostTickRate                                167247083                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     671944                       # Number of bytes of host memory used (Byte)
simInsts                                     46326279                       # Number of instructions simulated (Count)
simOps                                       50666649                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   691506                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     756294                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         22408867                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        53649064                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     4206                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       53356104                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  25410                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2986620                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           2145553                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  35                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            21952572                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.430517                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.070563                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   5438317     24.77%     24.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3230548     14.72%     39.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   3521946     16.04%     55.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2905887     13.24%     68.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2749252     12.52%     81.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2238746     10.20%     91.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1186380      5.40%     96.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    396983      1.81%     98.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    284513      1.30%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              21952572                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  134974     17.27%     17.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  81415     10.42%     27.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     27.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     27.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     27.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     27.69% # attempts to use FU when none available (Count)
