
---------- Begin Simulation Statistics ----------
simSeconds                                   0.009599                       # Number of seconds simulated (Second)
simTicks                                   9598850000                       # Number of ticks simulated (Tick)
finalTick                                  9598850000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     52.54                       # Real time elapsed on the host (Second)
hostTickRate                                182686194                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     641036                       # Number of bytes of host memory used (Byte)
simInsts                                     39561848                       # Number of instructions simulated (Count)
simOps                                       39561863                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   752944                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     752944                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         19197701                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        42869470                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    33290                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       42054172                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  62692                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              3340896                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1577920                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                4542                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            18301978                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.297794                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.163107                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   5152529     28.15%     28.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3032387     16.57%     44.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2643484     14.44%     59.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2418401     13.21%     72.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1912970     10.45%     82.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1342137      7.33%     90.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    891339      4.87%     95.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    500833      2.74%     97.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    407898      2.23%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              18301978                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  223888     17.17%     17.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  81512      6.25%     23.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    1473      0.11%     23.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                    15      0.00%     23.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     8      0.00%     23.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     23.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     23.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc             49280      3.78%     27.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     27.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     27.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     27.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     27.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     27.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%     27.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     27.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     27.31% # attempts to use FU when none available (Count)
