
---------- Begin Simulation Statistics ----------
simSeconds                                   0.010003                       # Number of seconds simulated (Second)
simTicks                                  10003303000                       # Number of ticks simulated (Tick)
finalTick                                 10003303000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     52.21                       # Real time elapsed on the host (Second)
hostTickRate                                191591021                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     640012                       # Number of bytes of host memory used (Byte)
simInsts                                     39561848                       # Number of instructions simulated (Count)
simOps                                       39561863                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   757719                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     757719                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         20006607                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        42871533                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    33295                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       42084119                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  62807                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              3342964                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1579315                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                4547                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            19109985                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.202206                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.169216                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   5924886     31.00%     31.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3083337     16.13%     47.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2642163     13.83%     60.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2431815     12.73%     73.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1883115      9.85%     83.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1313191      6.87%     90.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    912897      4.78%     95.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    503434      2.63%     97.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    415147      2.17%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              19109985                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  229269     17.80%     17.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  81460      6.32%     24.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    1511      0.12%     24.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                   113      0.01%     24.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                   547      0.04%     24.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     24.29% # attempts to use FU when none available (Count)
