
---------- Begin Simulation Statistics ----------
simSeconds                                   0.010549                       # Number of seconds simulated (Second)
simTicks                                  10549231000                       # Number of ticks simulated (Tick)
finalTick                                 10549231000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     72.52                       # Real time elapsed on the host (Second)
hostTickRate                                145458266                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     666932                       # Number of bytes of host memory used (Byte)
simInsts                                     34932178                       # Number of instructions simulated (Count)
simOps                                       69036779                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   481663                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     951914                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         21098463                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        73020592                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       45                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       71664675                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  28231                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              3983852                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           5996404                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  27                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            20871213                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.433661                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.360355                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   3332550     15.97%     15.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1882923      9.02%     24.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2439101     11.69%     36.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3307030     15.84%     52.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2704232     12.96%     65.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2246752     10.76%     76.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2609412     12.50%     88.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1518404      7.28%     96.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    830809      3.98%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              20871213                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 1565767     89.38%     89.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     89.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     89.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     89.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     89.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     89.38% # attempts to use FU when none available (Count)
