
---------- Begin Simulation Statistics ----------
simSeconds                                   0.011375                       # Number of seconds simulated (Second)
simTicks                                  11375428000                       # Number of ticks simulated (Tick)
finalTick                                 11375428000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    126.55                       # Real time elapsed on the host (Second)
hostTickRate                                 89887733                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     665912                       # Number of bytes of host memory used (Byte)
simInsts                                     34932178                       # Number of instructions simulated (Count)
simOps                                       69036779                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   276031                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     545523                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         22750857                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        73144145                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       45                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       71757994                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  54407                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              4107405                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           6055344                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  27                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            22420880                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.200499                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.437233                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   4750373     21.19%     21.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2026202      9.04%     30.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2507779     11.19%     41.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3280968     14.63%     56.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2689243     11.99%     68.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2046030      9.13%     77.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2760945     12.31%     89.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1554182      6.93%     96.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    805158      3.59%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              22420880                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 1670111     89.04%     89.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     89.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     89.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     89.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     89.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     89.04% # attempts to use FU when none available (Count)
