
---------- Begin Simulation Statistics ----------
simSeconds                                   0.010452                       # Number of seconds simulated (Second)
simTicks                                  10452164500                       # Number of ticks simulated (Tick)
finalTick                                 10452164500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     71.82                       # Real time elapsed on the host (Second)
hostTickRate                                145532965                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     672972                       # Number of bytes of host memory used (Byte)
simInsts                                     42774967                       # Number of instructions simulated (Count)
simOps                                       47115337                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   595586                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     656020                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         20904330                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        49960662                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     4199                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       49688384                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   9223                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2849523                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           2165714                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  28                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            20521563                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.421277                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.991666                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   4507007     21.96%     21.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3229252     15.74%     37.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   3665976     17.86%     55.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3120953     15.21%     70.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2834148     13.81%     84.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1584851      7.72%     92.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    828227      4.04%     96.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    475080      2.32%     98.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    276069      1.35%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              20521563                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  178534     22.40%     22.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  81416     10.21%     32.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     32.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     32.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     32.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     32.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     32.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     32.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     32.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     32.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     32.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     32.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     32.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      3      0.00%     32.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                   3608      0.45%     33.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     33.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%     33.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     33.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     33.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     33.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     33.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     33.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     33.06% # attempts to use FU when none available (Count)
