
---------- Begin Simulation Statistics ----------
simSeconds                                   0.027867                       # Number of seconds simulated (Second)
simTicks                                  27866685000                       # Number of ticks simulated (Tick)
finalTick                                 27866685000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     78.06                       # Real time elapsed on the host (Second)
hostTickRate                                357004927                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     640016                       # Number of bytes of host memory used (Byte)
simInsts                                     48982758                       # Number of instructions simulated (Count)
simOps                                       48982773                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   627526                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     627526                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         55733371                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        53259672                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    33458                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       52188208                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  71553                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              4310356                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           2017651                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                4710                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            54722576                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.953687                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.703458                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  35636437     65.12%     65.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   6329575     11.57%     76.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   4740139      8.66%     85.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2596040      4.74%     90.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2022037      3.70%     93.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1403346      2.56%     96.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    956219      1.75%     98.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    562221      1.03%     99.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    476562      0.87%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              54722576                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  270227     18.74%     18.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  81407      5.65%     24.39% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    1253      0.09%     24.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     24.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     24.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     24.47% # attempts to use FU when none available (Count)
