
---------- Begin Simulation Statistics ----------
simSeconds                                   0.022118                       # Number of seconds simulated (Second)
simTicks                                  22118086500                       # Number of ticks simulated (Tick)
finalTick                                 22118086500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     96.15                       # Real time elapsed on the host (Second)
hostTickRate                                230047759                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     664880                       # Number of bytes of host memory used (Byte)
simInsts                                     41289468                       # Number of instructions simulated (Count)
simOps                                       78315814                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   429447                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     814554                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         44236174                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        82683887                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       59                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       81087746                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  33944                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              4368126                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           6793967                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  41                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            43463486                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.865652                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.252775                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  20090014     46.22%     46.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   4178254      9.61%     55.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   5198550     11.96%     67.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3538032      8.14%     75.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   3471122      7.99%     83.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2633320      6.06%     89.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2399801      5.52%     95.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1186742      2.73%     98.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    767651      1.77%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              43463486                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 1057640     81.55%     81.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     81.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     81.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     81.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     81.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     81.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     81.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     81.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     81.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     81.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     81.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     81.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     81.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                  17308      1.33%     82.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     82.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                    127      0.01%     82.89% # attempts to use FU when none available (Count)
