
---------- Begin Simulation Statistics ----------
simSeconds                                   0.028288                       # Number of seconds simulated (Second)
simTicks                                  28287967500                       # Number of ticks simulated (Tick)
finalTick                                 28287967500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    171.26                       # Real time elapsed on the host (Second)
hostTickRate                                165176622                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681508                       # Number of bytes of host memory used (Byte)
simInsts                                    122687783                       # Number of instructions simulated (Count)
simOps                                      130836107                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   716387                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     763966                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         56575936                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       136848471                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   196974                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      136568953                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 240064                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              6209337                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           5059847                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 163                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            55824874                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.446382                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.075608                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  14637526     26.22%     26.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   7434016     13.32%     39.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   5250385      9.41%     48.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  12102679     21.68%     70.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   7556522     13.54%     84.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   4289440      7.68%     91.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2175021      3.90%     95.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1431564      2.56%     98.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    947721      1.70%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              55824874                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  310553     11.09%     11.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                 153498      5.48%     16.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     16.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     16.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     16.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     16.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     16.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     16.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     16.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     16.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     16.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     16.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     16.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      1      0.00%     16.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      6      0.00%     16.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     16.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%     16.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     16.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     16.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     16.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     16.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     16.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     16.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     16.58% # attempts to use FU when none available (Count)
