
---------- Begin Simulation Statistics ----------
simSeconds                                   0.037886                       # Number of seconds simulated (Second)
simTicks                                  37886320500                       # Number of ticks simulated (Tick)
finalTick                                 37886320500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    228.68                       # Real time elapsed on the host (Second)
hostTickRate                                165675905                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681504                       # Number of bytes of host memory used (Byte)
simInsts                                    146896283                       # Number of instructions simulated (Count)
simOps                                      158781214                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   642373                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     694346                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         75772643                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       169875937                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   196983                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      169072470                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 290777                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             11291705                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           8494114                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 166                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            73141586                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.311578                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.051179                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  20726729     28.34%     28.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   9984175     13.65%     41.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   7975865     10.90%     52.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  14520147     19.85%     72.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   9379868     12.82%     85.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   5076195      6.94%     92.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2835225      3.88%     96.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1482729      2.03%     98.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1160653      1.59%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              73141586                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  394778     12.25%     12.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                 248629      7.72%     19.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     19.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     19.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     19.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     19.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     19.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     19.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     19.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     19.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     19.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     19.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     19.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      1      0.00%     19.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      4      0.00%     19.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     19.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%     19.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     19.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     19.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     19.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     19.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     19.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     19.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     19.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     19.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     19.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     19.97% # attempts to use FU when none available (Count)
