
---------- Begin Simulation Statistics ----------
simSeconds                                   0.064690                       # Number of seconds simulated (Second)
simTicks                                  64689761500                       # Number of ticks simulated (Tick)
finalTick                                 64689761500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    253.06                       # Real time elapsed on the host (Second)
hostTickRate                                255631830                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680484                       # Number of bytes of host memory used (Byte)
simInsts                                    146952332                       # Number of instructions simulated (Count)
simOps                                      158847536                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   580705                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     627711                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        129379524                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       171193985                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   196992                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      170228352                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 307278                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             12543440                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           9110584                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 175                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           126973981                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.340655                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.816011                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  64280038     50.62%     50.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  19529696     15.38%     66.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  14114321     11.12%     77.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  11578235      9.12%     86.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   8344474      6.57%     92.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3925101      3.09%     95.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2737177      2.16%     98.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1410666      1.11%     99.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1054273      0.83%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             126973981                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  390234     11.94%     11.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                 248909      7.62%     19.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     19.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     19.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     19.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     19.56% # attempts to use FU when none available (Count)
