
---------- Begin Simulation Statistics ----------
simSeconds                                   0.002010                       # Number of seconds simulated (Second)
simTicks                                   2009819500                       # Number of ticks simulated (Tick)
finalTick                                  2009819500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      9.64                       # Real time elapsed on the host (Second)
hostTickRate                                208380537                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     671176                       # Number of bytes of host memory used (Byte)
simInsts                                      4846742                       # Number of instructions simulated (Count)
simOps                                        5375320                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   502514                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     557317                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          4019640                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         6262037                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     2154                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        5952694                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   9060                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               888870                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            629121                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  47                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             3979393                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.495880                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.058084                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   2118644     53.24%     53.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    415146     10.43%     63.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    396922      9.97%     73.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    308195      7.74%     81.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    326951      8.22%     89.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    161637      4.06%     93.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    135333      3.40%     97.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     41388      1.04%     98.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     75177      1.89%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               3979393                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   22034     13.55%     13.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     13.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     13.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     13.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     13.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     13.55% # attempts to use FU when none available (Count)
