
---------- Begin Simulation Statistics ----------
simSeconds                                   0.008574                       # Number of seconds simulated (Second)
simTicks                                   8574259500                       # Number of ticks simulated (Tick)
finalTick                                  8574259500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     52.12                       # Real time elapsed on the host (Second)
hostTickRate                                164513078                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681512                       # Number of bytes of host memory used (Byte)
simInsts                                     34413794                       # Number of instructions simulated (Count)
simOps                                       38444748                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   660291                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     737632                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         17148520                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        40625328                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    69155                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       40510126                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 123543                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2249734                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1724969                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 165                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            16590276                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.441799                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.303482                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   4813013     29.01%     29.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2284721     13.77%     42.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2398205     14.46%     57.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2119214     12.77%     70.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1702967     10.26%     80.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    988933      5.96%     86.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1081516      6.52%     92.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    787932      4.75%     97.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    413775      2.49%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              16590276                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  163331     15.58%     15.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                 137820     13.15%     28.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     28.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     28.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     28.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     28.73% # attempts to use FU when none available (Count)
