
---------- Begin Simulation Statistics ----------
simSeconds                                   0.010491                       # Number of seconds simulated (Second)
simTicks                                  10490945500                       # Number of ticks simulated (Tick)
finalTick                                 10490945500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     55.40                       # Real time elapsed on the host (Second)
hostTickRate                                189374207                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680488                       # Number of bytes of host memory used (Byte)
simInsts                                     34420556                       # Number of instructions simulated (Count)
simOps                                       38452508                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   621332                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     694113                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         20981892                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        40632310                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    69154                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       40525902                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 124107                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2248955                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1719767                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 164                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            20436140                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.983051                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.259852                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   8307366     40.65%     40.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2612777     12.79%     53.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2515817     12.31%     65.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2161499     10.58%     76.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1648746      8.07%     84.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    945524      4.63%     89.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1077211      5.27%     94.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    726476      3.55%     97.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    440724      2.16%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              20436140                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  133091     13.07%     13.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                 137868     13.54%     26.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     26.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     26.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     26.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     26.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     26.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     26.61% # attempts to use FU when none available (Count)
