
---------- Begin Simulation Statistics ----------
simSeconds                                   0.027256                       # Number of seconds simulated (Second)
simTicks                                  27256328500                       # Number of ticks simulated (Tick)
finalTick                                 27256328500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    246.54                       # Real time elapsed on the host (Second)
hostTickRate                                110557262                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681512                       # Number of bytes of host memory used (Byte)
simInsts                                    108505124                       # Number of instructions simulated (Count)
simOps                                      115749743                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   440119                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     469505                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         54512658                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       122584208                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    78991                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      122120190                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 160544                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              6913455                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           4928095                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 167                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            51698095                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.362180                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.995733                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  14041007     27.16%     27.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   4762472      9.21%     36.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   9954692     19.26%     55.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   7527051     14.56%     70.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   7878341     15.24%     85.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3833231      7.41%     92.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2314843      4.48%     97.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    793060      1.53%     98.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    593398      1.15%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              51698095                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  232175     16.05%     16.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                 193978     13.41%     29.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     29.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     29.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     29.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     29.47% # attempts to use FU when none available (Count)
