
---------- Begin Simulation Statistics ----------
simSeconds                                   0.019889                       # Number of seconds simulated (Second)
simTicks                                  19889125500                       # Number of ticks simulated (Tick)
finalTick                                 19889125500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    178.98                       # Real time elapsed on the host (Second)
hostTickRate                                111122155                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680488                       # Number of bytes of host memory used (Byte)
simInsts                                     82413470                       # Number of instructions simulated (Count)
simOps                                       90674047                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   460450                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     506603                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         39778252                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        96634528                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   196990                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       96407366                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 268987                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              6157470                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           4758189                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 179                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            39016685                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.470927                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.214555                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  10325486     26.46%     26.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   5252131     13.46%     39.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   6020084     15.43%     55.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   5955206     15.26%     70.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4227610     10.84%     81.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2307479      5.91%     87.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2643748      6.78%     94.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1340402      3.44%     97.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    944539      2.42%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              39016685                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  362836     13.93%     13.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                 153381      5.89%     19.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     19.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     19.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     19.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     19.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     19.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     19.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     19.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     19.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     19.82% # attempts to use FU when none available (Count)
