
---------- Begin Simulation Statistics ----------
simSeconds                                   0.033393                       # Number of seconds simulated (Second)
simTicks                                  33393118500                       # Number of ticks simulated (Tick)
finalTick                                 33393118500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    292.22                       # Real time elapsed on the host (Second)
hostTickRate                                114274259                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680488                       # Number of bytes of host memory used (Byte)
simInsts                                    136107517                       # Number of instructions simulated (Count)
simOps                                      146310873                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   465772                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     500689                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         66786238                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       155070606                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   197004                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      154628602                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 283668                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              8956736                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           6740928                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 190                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            64936942                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.381212                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.088361                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  17771405     27.37%     27.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   6854786     10.56%     37.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  11545440     17.78%     55.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  10942886     16.85%     72.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   7610721     11.72%     84.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3283846      5.06%     89.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   4548638      7.00%     96.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1333424      2.05%     98.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1045796      1.61%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              64936942                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  389456     13.69%     13.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                 193881      6.81%     20.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     20.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     20.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     20.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     20.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     20.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     20.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     20.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     20.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     20.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     20.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     20.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      1      0.00%     20.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                     10      0.00%     20.50% # attempts to use FU when none available (Count)
