
---------- Begin Simulation Statistics ----------
simSeconds                                   0.024267                       # Number of seconds simulated (Second)
simTicks                                  24266631000                       # Number of ticks simulated (Tick)
finalTick                                 24266631000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     62.11                       # Real time elapsed on the host (Second)
hostTickRate                                390676433                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     671952                       # Number of bytes of host memory used (Byte)
simInsts                                     37273609                       # Number of instructions simulated (Count)
simOps                                       38427141                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   600080                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     618651                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         48533263                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        41853148                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      270                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       40972836                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   5559                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              3426276                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           2550739                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  57                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            48479840                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.845152                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.442159                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  30965395     63.87%     63.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   6928118     14.29%     78.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   4154474      8.57%     86.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2898885      5.98%     92.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1773462      3.66%     96.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    950507      1.96%     98.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    548337      1.13%     99.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    182586      0.38%     99.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     78076      0.16%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              48479840                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  112197     18.67%     18.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   2478      0.41%     19.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     19.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     19.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     19.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     19.08% # attempts to use FU when none available (Count)
